region,arm,user_id_hash,chat_mode,locale,registered_at,sessions_total,sessions_completed,completion_rate,avg_audio_duration_s,cards_total,cards_per_session,avg_story_chars,turns_total,turns_per_session,user_chars_per_turn,interrupt_count,ptt_press_count,ptt_avg_ms,satisfaction_count,satisfaction_mean
intl,a,fe6658040cb34969,push_to_talk,zh,2026-04-17T23:26:21.683Z,6,3,0.5,24.4,3,0.5,74,25,4.17,15.6,0,0,,3,5
intl,b,4134e5540e2814a4,auto,zh,2026-04-17T23:39:23.582Z,2,1,0.5,7.7,1,0.5,112,8,4,14.7,3,4,3793,1,5
intl,a,70d1528e877772b2,auto,zh,2026-04-18T00:43:21.329Z,4,1,0.25,20,1,0.25,145,21,5.25,32.3,0,0,,1,5
intl,b,c58b060eb7d9a370,auto,zh,2026-04-18T00:55:54.023Z,9,5,0.556,105.9,5,0.56,167.2,89,9.89,40,41,46,12211,5,3
intl,a,cca6f4f3f64e22c1,auto,zh,2026-04-18T00:58:25.135Z,2,2,1,31.9,2,1,67.5,28,14,6,14,0,,2,5
intl,a,5ad78e67a656803e,auto,zh,2026-04-18T01:01:23.437Z,2,1,0.5,,1,0.5,144,35,17.5,27.8,0,0,,1,3
intl,a,08002daa4103fbc2,auto,zh,2026-04-18T01:06:49.187Z,1,1,1,,1,1,118,25,25,9.7,2,0,,1,3
intl,a,6fe3f79e23191352,auto,zh,2026-04-18T01:17:00.985Z,11,5,0.455,125.3,5,0.45,183,121,11,42.6,1,0,,5,3.2
intl,a,8f6b65bc05605af5,auto,zh,2026-04-18T01:22:03.401Z,3,0,0,9,0,0,,8,2.67,12.7,2,0,,1,5
intl,b,f18bf803d142e0f5,auto,zh,2026-04-18T02:47:04.376Z,1,0,0,37.5,0,0,,7,7,40,3,5,3624,0,
intl,a,55ee22e08f78221d,auto,zh,2026-04-18T02:53:55.182Z,2,2,1,174.2,2,1,201.5,52,26,53,6,0,,2,5
intl,a,e976afbd1953aedd,auto,zh,2026-04-18T03:07:33.692Z,2,2,1,103.9,2,1,137,34,17,46.1,1,0,,2,4.5
intl,a,0b5a9b4eb18f2284,auto,zh,2026-04-18T05:18:18.101Z,6,5,0.833,30.2,5,0.83,95.6,52,8.67,13.2,27,0,,6,4.5
intl,a,5f4f41adf0152977,auto,zh,2026-04-18T16:58:54.756Z,2,2,1,35.9,2,1,109,16,8,34.9,1,0,,1,5
intl,a,c044eb298c85d9cf,auto,zh,2026-04-18T17:18:11.641Z,3,2,0.667,118.8,2,0.67,188,25,8.33,97.7,1,0,,2,5
intl,b,331c717d11cac77c,auto,zh,2026-04-18T17:33:17.454Z,1,1,1,84.9,1,1,170,19,19,32.6,9,9,9397,1,3
intl,b,bf242b80f19ee483,auto,zh,2026-04-18T17:38:59.171Z,1,1,1,79.5,1,1,120,11,11,70.8,5,5,12591,1,4
intl,a,d7b57bee67fd5e21,auto,zh,2026-04-18T17:44:54.042Z,1,1,1,79.5,1,1,154,11,11,60.8,0,0,,1,3
intl,b,2abefecd0e30f0f9,auto,zh,2026-04-18T17:50:11.206Z,1,1,1,132.7,1,1,139,21,21,60,10,10,10486,1,4
intl,a,987a6fdf142c3fb3,auto,zh,2026-04-18T17:57:29.422Z,1,1,1,130.9,1,1,168,13,13,86.8,1,0,,1,4
intl,b,859306f9987289c0,auto,zh,2026-04-18T18:07:15.406Z,1,1,1,168.6,1,1,234,21,21,79.2,11,11,13252,1,4
intl,a,02323f3dda1461af,auto,zh,2026-04-18T18:13:15.681Z,1,1,1,212.3,1,1,200,23,23,83.9,4,0,,1,4
intl,a,98098d3f3ccfd6ca,auto,zh,2026-04-19T00:09:33.760Z,2,1,0.5,52.5,1,0.5,80,16,8,7.1,1,0,,1,5
intl,a,a5b220901648e20a,auto,zh,2026-04-19T00:39:16.864Z,1,1,1,204.1,1,1,108,51,51,9.6,1,0,,0,
intl,a,4b5e43e9257aefcd,auto,zh,2026-04-19T01:13:15.324Z,1,0,0,,0,0,,3,3,1,0,0,,1,5
intl,b,a7da9253257520c0,auto,zh,2026-04-19T18:06:01.010Z,6,0,0,15.8,0,0,,6,1,,6,8,10025,3,3
intl,a,aea1d84f48294be0,auto,zh,2026-04-19T18:50:09.841Z,1,1,1,107.7,1,1,157,13,13,78,2,0,,1,5
